Lead_ID,Restaurant_Name,City,Area,Business_Type,Outlet_Count,Public_Phone,Public_Email,Website,Social_Profile,Current_POS,Pain_Point,Decision_Maker_Status,Lead_Source,Lead_Score,Temperature,Pipeline_Stage,First_Contact_Date,Last_Contact_Date,Next_Follow_Up,Demo_Date,Trial_Start,Trial_End,Quoted_Plan,Quoted_Price,Outcome,Lost_Reason,BDE_Owner,Notes,Source_URL,Research_Date,Fit_Signals,Research_Confidence
PLN-011,Agam Parlour and Nasta House,Palanpur,"",Cafe,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public Zomato result,29,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public Zomato search snippet identifies Gujarati/North Indian/street food, coffee, and tea. Outlet count not independently confirmed.",https://www.google.com/search?q=Agam+Parlour+Nasta+House+Palanpur,2026-09-07,"Cafe/nasta, menu variety, public listing",MEDIUM
PLN-012,Grewmore Cafe,Palanpur,"",Cafe,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public Zomato result,28,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public Zomato search snippet identifies a Palanpur cafe; details require BDE discovery. Outlet count not independently confirmed.",https://www.google.com/search?q=Grewmore+Cafe+Palanpur,2026-09-07,"Cafe, public listing",MEDIUM
PLN-013,Chaat Di Hatti,Palanpur,"",Cafe,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public Tripadvisor result,28,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public Tripadvisor cafe list identifies Chaat Di Hatti in Palanpur. Outlet count not independently confirmed.",https://www.google.com/search?q=Chaat+Di+Hatti+Palanpur,2026-09-07,"Cafe/quick service, public listing",MEDIUM
PLN-014,Khana E Laziz,Palanpur,"",Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public Tripadvisor result,29,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public Tripadvisor cafe/restaurant list identifies Khana E Laziz in Palanpur. Outlet count not independently confirmed.",https://www.google.com/search?q=Khana+E+Laziz+Palanpur,2026-09-07,"Restaurant/cafe, public listing",MEDIUM
PLN-015,Khopchu Couples Cafe,Palanpur,"Guru Aashirwad Complex, College Road",Cafe,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public District/Zomato result,31,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public result displays address and indicative price for a cafe on College Road. Outlet count not independently confirmed.",https://www.google.com/search?q=Khopchu+Couples+Cafe+Palanpur,2026-09-07,"Cafe, public address, dine-in",HIGH
PLN-016,Kutchhi King,Palanpur,"Palanpur Junction/Rabarivas area",QSR,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public Zomato result,29,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public Zomato result identifies pizza/quick-service menu presence. Outlet count not independently confirmed.",https://www.google.com/search?q=Kutchhi+King+Palanpur,2026-09-07,"QSR/takeaway signal, menu variety",MEDIUM
PLN-017,Gamdu Garden Restaurant,Palanpur,"Abu Highway, near Surmandir Theatre",Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public local result,35,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public local result identifies Punjabi/vegetarian/family restaurant with high review volume. Outlet count not independently confirmed.",https://www.google.com/search?q=Gamdu+Garden+Restaurant+Palanpur,2026-09-07,"Family dining, menu complexity, public listing",HIGH
PLN-018,Ramadhani Garden Restaurant,Palanpur,"Ahmedabad-Palanpur Highway, near Nil Madhav Party Plot",Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public local result,34,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public local result identifies dine-in, kerbside pickup, and delivery. Outlet count not independently confirmed.",https://www.google.com/search?q=Ramadhani+Garden+Restaurant+Palanpur,2026-09-07,"Dine-in, pickup, delivery, highway location",HIGH
PLN-019,NH14 Restaurant,Palanpur,"",Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public Tripadvisor result,30,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public Tripadvisor result identifies NH14 Restaurant in Palanpur; details require BDE discovery. Outlet count not independently confirmed.",https://www.google.com/search?q=NH14+Restaurant+Palanpur,2026-09-07,"Restaurant, public review listing",MEDIUM
PLN-020,Rajwadu Garden Restaurant,Palanpur,"",Restaurant,UNKNOWN,"","","","","",UNKNOWN,UNKNOWN,Google public TasteOfCity result,30,COLD,NEW LEAD,"","","","","","","","","","",UNASSIGNED,"Public TasteOfCity result identifies Rajwadu Garden Restaurant in Palanpur. Outlet count not independently confirmed.",https://www.google.com/search?q=Rajwadu+Garden+Restaurant+Palanpur,2026-09-07,"Gujarati thali/garden restaurant signal",MEDIUM
